atoll,region,seabird_data,lat,long,number_islets,annual_precipitation_mm,land_area_sqkm,lagoon_area_sqkm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km,human_population
Pakin,Micronesia,yes,7.0704589,157.8051074,21,4770,1.09,15,2,2,3,7,29,Pohnpei,37,2594,100
Palmerston,Polynesia,yes,-18.0474,-163.1548,12,2027,2.6,40,7,1,3,8,460,Rarotonga,494,4541,57
Palmyra,Polynesia,yes,5.882204,-162.0748745,20,4442,11.9,61,1,0,0,1,227,Hawaii,1599,6002,0
Paraoa,Polynesia,yes,-19.1365,-140.69,10,1465,4,17,0,0,0,2,57,Mangareva,737,6690,0
Pearl_and_Hermes,Polynesia,yes,27.873,-175.8354,7,1082,0.32,343,0,1,1,3,149,Kauai,1742,4401,0
Peremul_Par,Indian_Ocean,yes,11.1499,72.0609,3,1530,0.02,57,2,1,1,6,29,Sri_Lanka,886,353,0
Peros_Banhos,Indian_Ocean,yes,-5.3542,71.8489,32,3998,9.6,463,1,0,0,0,37,Sri_Lanka,1557,1604,0
Pinaki,Polynesia,yes,-19.3949,-138.6751,1,1509,1.3,0.79,0,2,2,3,55,Mangareva,560,6874,0
Pingelap,Micronesia,yes,6.2147306,160.6991088,3,3719,1.8,2,6,0,2,4,115,Pohnpei,264,2746,250
Pinipel,Melanesia,no,-4.4,154.1201,3,3000,6.61,14,0,0,0,0,8,New_Ireland,111,1452,901
Pukapuka,Polynesia,yes,-10.8858,-165.8534,3,2848,3,10,0,1,1,4,87,Samoa,632,4617,425
Puka-Puka,Polynesia,yes,-14.8176,-138.8167,21,1242,5,4,0,1,1,2,186,Fatu_Iva,470,7067,163
Pukarua,Polynesia,yes,-18.3159,-137.0181,43,1405,7,32,0,0,0,2,61,Mangareva,569,7081,227
Pulap,Micronesia,no,7.5901,149.422,3,3118,0.99,35,9,3,6,13,34,Chuuk,235,2157,1270
Pulusuk,Micronesia,no,6.6915,149.3024,1,3328,2.84,0.16,6,4,4,9,73,Chuuk,259,2064,451
Puluwat,Micronesia,no,7.3592,149.1893,5,2420,3.4,2,6,1,6,13,33,Chuuk,259,2126,1015
Qelelevu,Melanesia,yes,-16.107,-179.281,3,2990,1.96,159,7,5,11,18,35,Vanua_Levu,73,3055,0
Rakahanga,Polynesia,yes,-10.0165,-161.0896,11,2440,4,5,0,0,0,1,40,Samoa,1131,5121,83
Rangiroa,Polynesia,yes,-15.1224461,-147.546209,415,1752,79,1615,0,0,2,4,13,Tahiti,323,6193,2567
Raraka,Polynesia,yes,-16.1764,-144.8953,118,1605,14,366,0,0,0,2,30,Tahiti,483,6410,110
Raroia,Polynesia,yes,-16.0809,-142.4241,184,1854,41,365,0,0,0,0,28,Tahiti,752,6659,233
Rasdhoo,Indian_Ocean,no,4.2921,72.9834,4,1966,0.56,48,1,0,0,0,13,Sri_Lanka,811,635,1067
Ravahere,Polynesia,no,-18.2358,-142.1475,30,1417,7,53,0,0,0,0,11,Tahiti,739,6586,0
Rawaki,Polynesia,yes,-3.7217,-170.7118,1,659,0.65,0.16,0,0,0,0,90,Samoa,1089,4640,0
Reao,Polynesia,yes,-18.516,-136.3717,108,1405,9,45,0,0,0,0,65,Mangareva,526,7135,351
Redlick,Melanesia,no,-10.8735,152.5466,6,3000,0.22,36,3,0,1,2,67,Misima,24,904,0
Reitoru,Polynesia,yes,-17.8555,-143.0744,6,1560,1.39,10,1,0,0,0,51,Tahiti,640,6514,0
Rekareka,Polynesia,no,-16.834,-141.9218,3,1612,3.31,1,0,0,0,0,71,Tahiti,772,6672,0
