atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Pukarua,-1.00,36434.00,,,36434.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45170.00,,,36434.00
Qelelevu,-1.00,186334.00,,,3480.00,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,10080.00,,,,5200.00,9500.00
Rakahanga,36434.00,-1.00,,,36434.00,,,,,,,,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,
Rangiroa,-1.00,-1.00,,45170.00,-1.00,-1.00,-1.00,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,36434.00,,,45170.00,-1.00
Raraka,1000.00,1000.00,,16.00,1000.00,,,,,,,,,30.00,,,,,,,,,,,,,,,,,,500.00,150.00,,,-1.00,1000.00
Raroia,-1.00,-1.00,,-1.00,-1.00,,,,,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,36434.00
Rawaki,6000.00,20.00,,5000.00,1800.00,2000000.00,16000.00,,,,,,,,,,4800.00,,,,150.00,,,,,,120.00,100.00,500.00,1000.00,1600.00,42000.00,2500.00,10000.00,,460.00,6000.00
Reao,-1.00,-1.00,,,36434.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36434.00
Reitoru,660.00,,,,1184.00,,,,,,,,,,,,78.00,,,,,,,,,,,,,,,1200.00,810.00,,,,612.00
Rongelap,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,-1.00,,,,-1.00,,,,-1.00
Rongerik,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,,,,,,,,,,,,,,-1.00,,,,-1.00,,,,
Rose,56.00,1232.00,,,10.00,400000.00,14.00,,,,,,,,,-1.00,42.00,,,,,,,,,,,,,,,62.00,22.00,24.00,,24.00,320.00
Saloman,502.00,,4240.00,,246.00,,,,,,,6.00,154.00,50.00,,20.00,,,,,,,,,,,,,,,,,-1.00,,,8.00,892.00
Sapwuahfik,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,-1.00,,-1.00,,,,,,,,,,,,,,,,,,,,,
Satawan,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,-1.00,,-1.00,,,,,,,,,,,,,,,,,-1.00,,,-1.00,-1.00
Scilly,36.00,176.00,,-1.00,303.00,,,,,,,,,,,,,,,,,,,,,,,,,,,36434.00,-1.00,,,10.00,48.00
Sorol,300.00,600.00,,,30.00,-1.00,,,,,,,12.00,200.00,,,10.00,,,,,,,,,,,,,,,,35.00,8.00,,200.00,500.00
St_Joseph,-1.00,,,,-1.00,-1.00,,-1.00,,,,500.00,15.00,-1.00,,-1.00,,,,,,,,,,,,,57310.00,,,-1.00,-1.00,,,-1.00,
Starbuck,,,,,,3000000.00,-1.00,,,,,,,,,,10.00,,,,,,,,,,,,,,,-1.00,,,,-1.00,-1.00
