atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Tekokota,1068,11,,,505,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Temitangi,-1,,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
Temoe,200,22,,,500,,,,,,,,,6,,,1600,,,,,,10,,2300,,,,,,,,200,82,,,450
Tenararo,100,100,,,100,,,,,,,,,100,,,1600,,,,,,40,,40,,,,,,,,220,60,,-1,300
Teraina,-1,-1,,-1,2000,,,,,,,,,,,100,,,,,,,,,,,,,,,,,-1,,,-1,2000
Tetiaroa,21104,-1,,,-1,-1,-1,,,,,,,150,,,,,,,,,,,,,,,,,,-1,150,-1,,-1,10000
Tikehau,-1,-1,,-1,-1,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,-1
Toau,300,1300,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,175,150,,,150,550
Tongareva,-1,-1,,-1,-1,-1,,,,,,,-1,,,-1,-1,,,,,,,,,,,,,,,-1,,,,-1,-1
Tubbataha,1702,2876,,,,6000,,,,,,,,13376,,,,,,,,,,,,,,,,,,,,2,,3800,422
Tupai,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
