"","longitude","latitude","precip_anom"
"568",18.75,-68.75,-0.0299999993294477
"569",18.75,-71.25,0.0199999995529652
"570",18.75,-73.75,0.0499999988824129
"571",18.75,-76.25,0.00999999977648258
"572",18.75,-78.75,0
"573",18.75,-81.25,0
"574",18.75,-83.75,0
"575",18.75,-86.25,0
"576",18.75,-88.75,-0.00999999977648258
"577",21.25,88.75,NA
"578",21.25,86.25,NA
"579",21.25,83.75,NA
"580",21.25,81.25,NA
"581",21.25,78.75,NA
"582",21.25,76.25,NA
"583",21.25,73.75,NA
"584",21.25,71.25,NA
"585",21.25,68.75,-0.0999999977648258
"586",21.25,66.25,-0.0399999991059303
"587",21.25,63.75,0.0199999995529652
"588",21.25,61.25,-0.0799999982118607
"589",21.25,58.75,0
"590",21.25,56.25,0.0399999991059303
"591",21.25,53.75,0.0999999977648258
"592",21.25,51.25,0.0499999988824129
"593",21.25,48.75,-0.0599999986588955
"594",21.25,46.25,-0.0199999995529652
"595",21.25,43.75,-0.0199999995529652
"596",21.25,41.25,-0.0199999995529652
"597",21.25,38.75,0.0699999984353781
"598",21.25,36.25,-0.0199999995529652
"599",21.25,33.75,-0.00999999977648258
"600",21.25,31.25,0.00999999977648258
"601",21.25,28.75,0.0199999995529652
"602",21.25,26.25,0
"603",21.25,23.75,0
"604",21.25,21.25,0.00999999977648258
"605",21.25,18.75,-0.0199999995529652
"606",21.25,16.25,-0.0699999984353781
"607",21.25,13.75,-0.279999993741512
"608",21.25,11.25,-0.179999995976686
"609",21.25,8.75,-0.159999996423721
"610",21.25,6.25,-0.119999997317791
"611",21.25,3.75,-0.30999999307096
"612",21.25,1.25,-0.439999990165234
"613",21.25,-1.25,-0.509999988600612
"614",21.25,-3.75,-0.299999993294477
"615",21.25,-6.25,0.0399999991059303
"616",21.25,-8.75,0.00999999977648258
"617",21.25,-11.25,-0.0299999993294477
"618",21.25,-13.75,-0.299999993294477
"619",21.25,-16.25,-0.61999998614192
"620",21.25,-18.75,-0.679999984800816
"621",21.25,-21.25,-0.519999988377094
"622",21.25,-23.75,-0.30999999307096
"623",21.25,-26.25,-0.26999999396503
"624",21.25,-28.75,-0.329999992623925
"625",21.25,-31.25,-0.259999994188547
