atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Ngulu,0.9166,0.922,0.0408,0.1106,0.8428,0.4668,0.0778,0.0382,0.0322,0.0382,0.059,0.0674,0.7046,0.7772,0.0404,0.3054,0.1394,0.0512,0.0992,0.0418,0.0444,0.048,0.08,0.0328,0.0444,0.0586,0.048,0.065,0.2184,0.09,0.0382,0.1622,0.6322,0.1022,0.0534,0.4616,0.6116
Nihiru,0.9122,0.8046,0.0344,0.1696,0.8892,0.3268,0.195,0.0326,0.0226,0.0346,0.019,0.0214,0.0712,0.187,0.0462,0.1158,0.4118,0.061,0.0412,0.0394,0.049,0.055,0.0746,0.0346,0.09,0.0578,0.0468,0.0756,0.093,0.0776,0.0576,0.3246,0.3554,0.3,0.039,0.543,0.6408
Nikunau,0.9556,0.9474,0.121,0.136,0.9512,0.5896,0.2354,0.116,0.1328,0.0816,0.0866,0.0976,0.7682,0.8156,0.065,0.4032,0.472,0.0902,0.2002,0.0858,0.144,0.0948,0.1096,0.0938,0.087,0.0772,0.1886,0.1034,0.2836,0.1378,0.1264,0.393,0.7036,0.0716,0.0282,0.582,0.731
Nomwin,0.8602,0.8026,0.0264,0.0298,0.7892,0.2044,0.0654,0.0186,0.0266,0.0316,0.0264,0.0234,0.4506,0.6774,0.0446,0.115,0.1028,0.0384,0.0212,0.033,0.0286,0.023,0.0198,0.0268,0.0258,0.0208,0.0188,0.0282,0.0856,0.025,0.0254,0.1094,0.393,0.1326,0.06,0.406,0.3314
Nui,0.906,0.7318,0.034,0.1242,0.8886,0.313,0.2092,0.038,0.037,0.0514,0.0252,0.0254,0.079,0.1768,0.0542,0.123,0.4348,0.0614,0.0382,0.0412,0.0512,0.0454,0.055,0.0838,0.1068,0.0538,0.0448,0.0656,0.0674,0.073,0.057,0.3246,0.376,0.1854,0.0172,0.5222,0.6216
Nukufetau,0.8908,0.7168,0.0276,0.1112,0.8572,0.2882,0.176,0.0214,0.0272,0.0318,0.0236,0.026,0.0748,0.1544,0.0514,0.112,0.3026,0.0452,0.0254,0.0304,0.0376,0.0362,0.0426,0.0634,0.0758,0.0468,0.0392,0.0506,0.058,0.0666,0.0414,0.2598,0.3392,0.2174,0.0226,0.4766,0.5938
Olimarao,0.9068,0.8886,0.033,0.0558,0.835,0.405,0.0578,0.0286,0.0372,0.0504,0.0528,0.0626,0.6698,0.7466,0.0218,0.2706,0.1302,0.0476,0.074,0.0424,0.0438,0.0356,0.0768,0.0344,0.0476,0.0482,0.0368,0.0464,0.1308,0.0718,0.0314,0.1426,0.5908,0.1428,0.071,0.433,0.5624
Pinipel,0.4248,0.3586,0.039,0.0242,0.3054,0.1216,0.0562,0.0684,0.1428,0.0374,0.0388,0.0682,0.3314,0.1832,0.0452,0.2022,0.1078,0.0428,0.0446,0.0444,0.0368,0.028,0.0156,0.1326,0.0358,0.0392,0.0588,0.0312,0.1014,0.0382,0.0424,0.2542,0.1972,0.1548,0.0692,0.2746,0.3062
Pulap,0.89,0.838,0.029,0.0412,0.8134,0.2872,0.067,0.031,0.028,0.0392,0.0338,0.0348,0.5576,0.7066,0.0354,0.1772,0.1184,0.0436,0.0358,0.0358,0.035,0.0292,0.0332,0.0338,0.0326,0.0338,0.0244,0.0352,0.0914,0.0404,0.0272,0.1274,0.4738,0.1258,0.0574,0.424,0.4292
Pulusuk,0.8978,0.8568,0.0362,0.0468,0.8424,0.332,0.0684,0.035,0.0416,0.049,0.0454,0.0404,0.6226,0.7212,0.0372,0.22,0.1378,0.0506,0.0482,0.0434,0.0456,0.0374,0.0548,0.0458,0.0464,0.0392,0.0302,0.0438,0.117,0.0558,0.0348,0.1436,0.5518,0.1166,0.063,0.447,0.4944
